Time;Ano;Vitorias;Empates;Derrotas;Gols_Pro;Gols_Contra;Cartoes_Amarelos;Cartoes_Vermelhos
América-MG;2023;5;9;24;42;81;86;11
América-MG;2022;15;8;15;40;40;88;5
América-MG;2018;10;10;18;30;47;84;8
América-MG;2021;13;14;11;41;37;66;2
Athlético-PR;2018;16;9;13;54;37;88;5
Athlético-PR;2019;18;10;10;51;32;83;2
Athlético-PR;2020;15;8;15;38;36;82;5
Athlético-PR;2023;14;14;10;51;43;112;4
Athlético-PR;2022;16;10;12;48;48;95;4
Athlético-PR;2021;13;8;17;41;45;90;6
Athlético-PR;2024;11;9;18;40;46;98;10
Atlético-GO;2024;7;9;22;29;58;105;14
Atlético-GO;2020;12;14;12;40;45;82;6
Atlético-GO;2021;13;14;11;33;36;98;7
Atlético-GO;2022;8;12;18;39;57;104;9
Atlético-MG;2020;20;8;10;64;45;72;6
Atlético-MG;2023;19;9;10;52;32;114;7
Atlético-MG;2021;26;6;6;67;34;82;4
Atlético-MG;2018;17;8;13;56;43;90;3
Atlético-MG;2019;13;9;16;44;49;69;5
Atlético-MG;2022;15;13;10;45;37;93;3
Atlético-MG;2024;11;14;13;47;54;110;13
Atlético-MG;2025;12;12;14;43;44;96;9
Avaí;2019;3;11;24;18;62;79;10
Avaí;2022;9;8;21;34;60;102;4
Bahia;2021;11;10;17;42;51;94;5
Bahia;2023;12;8;18;50;53;96;8
Bahia;2020;12;8;18;48;59;88;8
Bahia;2019;12;13;13;44;43;65;6
Bahia;2025;17;9;12;50;46;86;6
Bahia;2018;12;12;14;39;41;85;4
Bahia;2024;15;8;15;49;49;86;1
Botafogo;2024;23;10;5;59;29;107;7
Botafogo;2020;5;12;21;32;62;72;6
Botafogo;2018;13;12;13;38;46;90;5
Botafogo;2019;13;4;21;31;45;94;3
Botafogo;2022;15;8;15;41;43;98;6
Botafogo;2025;17;12;9;58;38;94;6
Botafogo;2023;18;10;10;58;37;96;8
Ceará;2022;7;16;15;34;41;127;10
Ceará;2025;11;10;17;34;40;89;4
Ceará;2020;14;10;14;54;51;91;10
Ceará;2019;10;9;19;36;41;85;3
Ceará;2018;10;14;14;32;38;91;3
Ceará;2021;11;17;10;39;38;90;5
Chapecoense;2019;7;11;20;31;52;79;6
Chapecoense;2018;11;11;16;34;50;74;3
Chapecoense;2021;1;12;25;27;67;82;10
Corinthians;2023;12;14;12;47;48;95;3
Corinthians;2020;13;12;13;45;45;83;10
Corinthians;2018;11;11;16;34;35;77;3
Corinthians;2024;15;11;12;54;45;116;10
Corinthians;2019;14;14;10;42;34;72;2
Corinthians;2022;18;11;9;44;36;84;6
Corinthians;2021;15;12;11;40;36;61;3
Corinthians;2025;12;11;15;42;47;110;9
Coritiba;2020;7;10;21;31;54;82;8
Coritiba;2023;8;6;24;41;73;68;6
Coritiba;2022;12;6;20;39;60;113;12
Criciúma;2024;9;11;18;42;61;97;6
Cruzeiro;2019;7;15;16;27;46;81;6
Cruzeiro;2024;14;10;14;43;41;100;8
Cruzeiro;2023;11;14;13;35;32;101;6
Cruzeiro;2025;19;13;6;55;31;106;5
Cruzeiro;2018;14;11;13;34;34;99;2
CSA;2019;8;8;22;24;58;90;4
Cuiabá;2024;6;12;20;29;49;118;2
Cuiabá;2023;14;9;15;40;39;102;4
Cuiabá;2022;10;11;17;31;42;82;11
Cuiabá;2021;10;17;11;34;37;84;7
Flamengo;2018;21;9;8;59;29;83;10
Flamengo;2019;28;6;4;86;37;90;3
Flamengo;2020;21;8;9;68;48;90;4
Flamengo;2024;20;10;8;61;42;76;4
Flamengo;2021;21;8;9;69;36;82;4
Flamengo;2025;23;10;5;78;27;78;5
Flamengo;2023;19;9;10;56;42;89;5
Flamengo;2022;18;8;12;60;39;84;4
Fluminense;2020;18;10;10;55;42;85;5
Fluminense;2024;12;10;16;33;39;118;13
Fluminense;2019;12;10;16;38;46;87;12
Fluminense;2018;12;9;17;32;46;87;5
Fluminense;2025;19;7;12;50;39;82;5
Fluminense;2021;15;9;14;38;38;91;4
Fluminense;2023;16;8;14;51;47;130;12
Fluminense;2022;21;7;10;63;41;85;11
Fortaleza;2020;10;11;17;34;44;82;11
Fortaleza;2024;19;11;8;53;39;107;10
Fortaleza;2023;15;9;14;45;44;100;2
Fortaleza;2022;15;10;13;46;39;88;8
Fortaleza;2025;11;10;17;43;58;108;10
Fortaleza;2021;17;7;14;44;45;95;7
Fortaleza;2019;15;8;15;50;49;85;13
Goiás;2023;9;11;18;36;53;108;8
Goiás;2019;15;7;16;46;64;86;7
Goiás;2020;9;10;19;41;63;117;6
Goiás;2022;11;13;14;40;53;117;8
Grêmio;2023;21;5;12;63;56;98;6
Grêmio;2019;19;8;11;64;39;80;2
Grêmio;2020;14;17;7;53;40;70;8
Grêmio;2024;12;9;17;44;50;93;8
Grêmio;2025;13;10;15;47;50;111;6
Grêmio;2018;18;12;8;48;27;83;1
Grêmio;2021;12;7;19;44;51;110;7
Internacional;2021;12;12;14;44;42;106;11
Internacional;2019;16;9;13;44;38;98;3
Internacional;2024;18;11;9;53;36;103;6
Internacional;2022;20;13;5;58;31;94;5
Internacional;2025;11;11;16;44;57;90;7
